
2021,MATX23ZL,Calculus C 01,ボーウェン マーク/渡邊 圭市,政経,春クォーター,01:水3時限02:金1時限,01:53-20102:53-201,IMPORTANT: This course will be held face-to-face on campus.  If you cannot......
2021,MATX10ZL,基礎の数学 基幹(6)-I,久保田 絢子,基幹,春学期,金1時限,54-302,"大学数学を学ぶ上で必要となる概念の基礎を学ぶ. 具体的には, 集合と写像, ベク......"
2021,MATX10ZL,基礎の数学 基幹(6)-II,薄葉 季路,基幹,春学期,金1時限,54-304,"本講義においては, 大学で理工系学問を学んで行くうえで基礎となる数学について......"
2021,MATX10ZL,基礎の数学 基幹(7)-I,黒田 隆徳,基幹,春学期,金1時限,54-402,"本科目は,高等学校で習う数学を補完し,大学で数学を学ぶ為の橋渡しとする.
......"
2021,MATX10ZL,基礎の数学 基幹(7)-II,内藤 由香,基幹,春学期,金1時限,54-404,"高等学校の数学と大学の数学のギャップを埋めることを目的に講義を行う.
学部......"
2021,MECX22ZL,工学系の解析設計演習,齋藤 潔/ジャンネッティ ニコロ/山口 誠一/吉村 浩明/ヴァレラ リチャード ジェイソン,基幹,春学期,金1-2,63-201,"授業は,基本は対面で実施します.注意してください.なお,コロナ感染症拡大時......"
2021,INFB21ZL,論理回路,小松 聡/柳澤 政生,基幹,春学期,金1時限,56-101,"電子回路によって実現される論理回路について,その基礎を理解し,設計手法を習......"
2021,MATX13ZL,Calculus C (1),ボーウェン マーク/渡邊 圭市,基幹,春クォーター,01:水3時限02:金1時限,01:53-20102:53-201,IMPORTANT: This course will be held face-to-face on campus.  If you cannot......
2021,ADEX28ZW,建築工学実験A,位田 達哉/大坪 康郎/輿石 直幸/山田 宮土理,創造,春学期,金1-2,52-301,木材・コンクリートおよび鉄鋼材料を対象とし、その基本的な性質について日本産......
2021,ADEX27ZW,建築工学実験B,鵜飼 真成/高口 洋人/田邉 新一/中野 淳太/伯耆原 智世,創造,春学期,金1-2,52-303,建築工学実験B(環境系実験)では、実験を通じて建築環境分野に関する理解を深......
2021,MATX13ZL,Calculus C (1),ボーウェン マーク/渡邊 圭市,創造,春クォーター,01:水3時限02:金1時限,01:53-20102:53-201,IMPORTANT: This course will be held face-to-face on campus.  If you cannot......
2021,PHYA34ZL,計測工学,北 智洋,先進,春学期,金1時限,54-202,物理量の計測はサイエンスの探求から日常生活を快適に過ごす手段にいたる広く重......
2021,PHYA34ZL,計測工学,北 智洋,先進,春学期,金1時限,54-202,物理量の計測はサイエンスの探求から日常生活を快適に過ごす手段にいたる広く重......
2021,CHMC23ZL,物理化学A,中井 浩巳,先進,春学期,金1時限,52-101,物理化学Aは、量子化学の入門に相当する。量子化学は、化学の諸問題を量子力学......
2021,MATX25ZS,応用数学A,常田 聡,先進,春クォーター,金1時限,52-102,研究者・技術者にとって、その成果を確実に情報伝達する手段の一つは、数字で表......
2021,MATX25ZS,応用数学B,朝日 透,先進,夏クォーター,金1時限,52-102,研究者・技術者にとって、その成果を普遍的に確実に情報伝達する手段の一つは、......
2021,MATX13ZL,Calculus C (1),ボーウェン マーク/渡邊 圭市,先進,春クォーター,01:水3時限02:金1時限,01:53-20102:53-201,IMPORTANT: This course will be held face-to-face on campus.  If you cannot......
2021,ELCX65ZL,Power Systems Engineering,喜久里 浩之,先進研,春学期,金1時限,53-203,"持続可能な社会の実現には,クリーンで経済的かつ安定したエネルギーネットワー......"
2021,MATX31ZL,代数学B1,成田 宏秋,基幹,春学期,金2時限,52-302,"代数学B1,B2はガロワ理論について解説することが目標になる。ガロワ理論は今日......"
2021,MECX22ZL,工学系の解析設計演習,齋藤 潔/ジャンネッティ ニコロ/山口 誠一/吉村 浩明/ヴァレラ リチャード ジェイソン,基幹,春学期,金1-2,63-201,"授業は,基本は対面で実施します.注意してください.なお,コロナ感染症拡大時......"
2021,PHYA30ZL,既約表現論,小山 泰正,基幹,春学期,金2時限,52-202, 原子、分子、および固体での電子状態等は、これらが持つ幾何学的な対称性に直......
2021,MATX32ZL,Geometry A,ゲスト マーティン,基幹,春学期,金2時限,54-402,Note: The eligible year for EBSE September enrollees is different from the......
2021,ADEX28ZW,建築工学実験A,位田 達哉/大坪 康郎/輿石 直幸/山田 宮土理,創造,春学期,金1-2,52-301,木材・コンクリートおよび鉄鋼材料を対象とし、その基本的な性質について日本産......
2021,ADEX27ZW,建築工学実験B,鵜飼 真成/高口 洋人/田邉 新一/中野 淳太/伯耆原 智世,創造,春学期,金1-2,52-303,建築工学実験B(環境系実験)では、実験を通じて建築環境分野に関する理解を深......
2021,CSTX26ZL,構造力学C,小野 潔,創造,春学期,金2時限,57-201,"・構造力学Cは対面授業で実施する予定である.リアルタイム配信は実施しない.
......"
2021,CSTX36ZL,防災地盤工学,小峯 秀雄,創造,春学期,金2時限,53-201,地震や水害等の自然災害や建設工事に伴う地盤災害から社会基盤施設を守るための......
2021,CSTX34ZL,岩盤力学,古井 健二,創造,春学期,金2時限,54-202,Note: The eligible year for EBSE September enrollees is different from the......
2021,CSTX34ZL,Rock Mechanics,古井 健二,創造,春学期,金2時限,54-202,Note: The eligible year for EBSE September enrollees is different from the......
2021,PHYP45ZL,原子核物理学,鷹野 正利,先進,春学期,金2時限,54-302,原子核物理学全般に関する入門的講議を行う。 特に、核の静的性質(質量、大き......
2021,PHYP45ZL,原子核物理学,鷹野 正利,先進,春学期,金2時限,54-302,原子核物理学全般に関する入門的講議を行う。 特に、核の静的性質(質量、大き......
2021,CHMC33ZL,量子化学,中井 浩巳,先進,春学期,金2時限,52-101,分子の構造・物性・反応性・電子状態を解明するために、今日では広く分子軌道(......
2021,CHMA40ZL,触媒化学,関根 泰/比護 拓馬/松方 正彦,先進,春学期,金2時限,57-202,触媒化学は現代の化学および工業化学を志す者にとっては是非とも心得ていなけれ......
2021,CHMA30ZL,触媒化学,関根 泰/比護 拓馬/松方 正彦,先進,春学期,金2時限,57-202,触媒化学は現代の化学および工業化学を志す者にとっては是非とも心得ていなけれ......
2021,PHYP27ZL,Materials Physics A,蟹澤 聖/高山 あかり,先進,春学期,金2時限,54-304,Aiming to systematic study of the basic physics necessary for understandin......
2021,PHYP27ZL,Solid State Physics A,蟹澤 聖/高山 あかり,先進,春学期,金2時限,54-304,Aiming to systematic study of the basic physics necessary for understandin......
2021,PHYP65ZL,原子核概説,鷹野 正利,基幹研,春学期,金2時限,54-302,原子核物理学全般に関する入門的講議を行う。 特に、核の静的性質(質量、大き......
2021,PHYP65ZL,原子核概説,鷹野 正利,創造研,春学期,金2時限,54-302,原子核物理学全般に関する入門的講議を行う。 特に、核の静的性質(質量、大き......
2021,PHYP65ZL,原子核概説,鷹野 正利,先進研,春学期,金2時限,54-302,原子核物理学全般に関する入門的講議を行う。 特に、核の静的性質(質量、大き......
2021,MECX633L,熱エネルギー反応工学特論,草鹿 仁/周 ベイニ,環エネ研,春学期,金2時限,53-B03,"近年,自動車によるエネルギー環境問題が注目されている。本講義ではこのような......"
2021,MATX43ZL,関数解析B,柴田 良弘,基幹,春学期,金3時限,53-201,バナッハ空間上の完全連続作用素に関するスペクトル理論を学ぶ。さらにFredholm......
2021,ELCX31ZL,信号処理 13前再,前原 文明,基幹,春学期,金3時限,57-202," 連続時間に関する信号処理技術の基礎を学ぶ.具体的には,連続時間における指......"
2021,ELCX21ZL,信号処理,前原 文明,基幹,春学期,金3時限,57-202," 連続時間に関する信号処理技術の基礎を学ぶ.具体的には,連続時間における指......"
2021,MECX36ZL,精密工学,岩瀬 英治/竹澤 晃弘,基幹,春学期,金3時限,63-202,"本講では,高い機能や複雑形状,微細形状を有した新しい機械を創造するための,......"
2021,ELCX21ZL,信号処理,前原 文明,基幹,春学期,金3時限,57-202," 連続時間に関する信号処理技術の基礎を学ぶ.具体的には,連続時間における指......"
2021,ADEX30ZW,設計製図II,芦澤 竜一/王 薪鵬/小林 恵吾/藤井 由理/古谷 誠章/保坂 猛/宮本 佳明/吉村 靖孝/渡邊 大志,創造,春学期,金3-5,01:54-B0101:54-B0201:54-B0301:54-B0401:56-10401:57-201,"設計製図IIは、建築学各分野で学習中の知識を統合する設計製図の中核となる。
......"
2021,CHMC42ZL,有機化学,中田 雅久,創造,春学期,金3時限,52-202,有機化合物の構造と反応に関する知識を体系的に習得する。主としてOrganic Chem......
